client_id,path,age,gender,sentence
477ecca08cd76f5431d459a2e73d2509c5249b1719dfb5415b40b0e79fc29488a2d6f046697ee436002d356ee039bff0fc3758c6e31626299d3e05fce0110ecc,common_voice_ro_25954347.mp3,twenties,male,Apoi mi-a fost și mai rău.
0a69d69ae2f334c957b903544b4f96a820bddcdab5d1d3595bb41c55fba96f806560381e16f7738fb333e6fed4b3692e8e744abeeb3443e2fe226a16df128fa0,common_voice_ro_26132334.mp3,twenties,female,Acest raport nu serveşte acestui scop.
477ecca08cd76f5431d459a2e73d2509c5249b1719dfb5415b40b0e79fc29488a2d6f046697ee436002d356ee039bff0fc3758c6e31626299d3e05fce0110ecc,common_voice_ro_25954883.mp3,twenties,male,De aceea este vitală evitarea anumitor riscuri.
b20852cd13badfd3c1615f3c405db2bcc8f65723de59d8fa69bb56171afbf3fae558ad4f1cd4d6bc19f4c89d3c6ba8c7e3736ee3125939bd00dafce86da0d5da,common_voice_ro_26251586.mp3,twenties,male,Sectorul are nevoie de un plan.
5e16e1b20562276906b0fa02e3ea8bbee927a99bb7a698a19ffc7358b3489e91da9f30769358c05d9ff37b9357d8fd181272374083f11875278e8124be67b8ce,common_voice_ro_21381038.mp3,thirties,male,Există şi o perspectivă în toate acestea.
d7e4b3a7bee4f8328f8ecb34d2e79f465c43b252c8548c1536cb45104f9dbea951d1625d5d512d4cbf9c108a900246ed8b49c54d004cf94cf71173a18f925137,common_voice_ro_23841176.mp3,twenties,female,Suntem ferm hotărâţi să continuăm această cooperare.
6f2b14d48da74b22a42b1344a3d2cfcf9abfe8446095ba7cb62697281c037884fd6d46eb29f5161bcfc01b3339c0945b0cff204467e95256403d7653b8bc9e87,common_voice_ro_25898059.mp3,twenties,male,"Prin urmare, în mod firesc condamnăm blasfemia."
b55d8570824147750d578665329bc227eb83487516c27bf64a066e848190784a0c8d902038976e78d360f3a9ae68211255ac087a8f637e296ccbfb768e82f0fa,common_voice_ro_26146720.mp3,twenties,male,Sprijinul bugetar nu este acordat în mod inconştient.
5e16e1b20562276906b0fa02e3ea8bbee927a99bb7a698a19ffc7358b3489e91da9f30769358c05d9ff37b9357d8fd181272374083f11875278e8124be67b8ce,common_voice_ro_21353273.mp3,thirties,male,Aceasta ar descongestiona foarte mult oraşele.
b1d00872e3fc08d73d59d31eb5b6502474c59272f65a0f739f1c5fd59f5ec7494813523bdddc0f419fffad33e3bfdd7d3d81cc69139b6e82b220b0967486b1ab,common_voice_ro_26127900.mp3,twenties,male,Garantarea siguranţei este o prioritate pentru noi.
